Input Type,n,Trial,Algorithm,Time,Comparisons,Swaps/Data Movements,Recursive Calls,Max Recursion Depth,Peak Memory Bytes,Constant c
random,200,10,Quick Sort,0.0025255000218749046,1647,717,265,15,2408,1.6519803350390708e-06
random,300,1,Heap Sort,0.010657400009222329,4032,2210,2360,9,2988,4.3171040745420756e-06
random,300,1,Merge Sort,0.007596499985083938,2102,2488,599,10,9440,3.0771934064111133e-06
random,300,1,Quick Sort,0.006338999955914915,2548,1043,395,18,3864,2.5678047661269333e-06
random,300,2,Heap Sort,0.014313500025309622,4026,2221,2371,9,151226,5.798118605546392e-06
random,300,2,Merge Sort,0.012771499925293028,2095,2488,599,10,9440,5.1734845570012175e-06
random,300,2,Quick Sort,0.00474110001232475,2508,1124,403,16,3736,1.9205267854548895e-06
random,300,3,Heap Sort,0.010472900001332164,4005,2179,2329,9,3124,4.242366733809212e-06
random,300,3,Merge Sort,0.00656929996330291,2102,2488,599,10,9440,2.661094789903974e-06
random,300,3,Quick Sort,0.005651899962686002,2692,1043,401,16,3672,2.289474012113805e-06
random,300,4,Heap Sort,0.01633899996522814,4052,2234,2384,9,3124,6.618608972431386e-06
random,300,4,Merge Sort,0.008498799987137318,2097,2488,599,10,9440,3.442697470437346e-06
random,300,4,Quick Sort,0.00480039999820292,2673,1277,407,19,3800,1.944548048655426e-06
random,300,5,Heap Sort,0.010873700026422739,4026,2201,2351,9,3124,4.404722976410389e-06
random,300,5,Merge Sort,0.01135950000025332,2100,2488,599,10,9440,4.601511033968667e-06
random,300,5,Quick Sort,0.005353800021111965,3070,1345,395,21,3800,2.1687195625035443e-06
random,300,6,Heap Sort,0.014090399956330657,4026,2213,2363,9,3124,5.707745135845879e-06
random,300,6,Merge Sort,0.012569500016979873,2081,2488,599,10,9440,5.0916583492506196e-06
random,300,6,Quick Sort,0.006788600003346801,2567,1045,407,20,3736,2.7499289422864935e-06
random,300,7,Heap Sort,0.012997900019399822,4005,2191,2341,9,3124,5.265194802267358e-06
random,300,7,Merge Sort,0.008706199936568737,2100,2488,599,10,9440,3.5267111291135144e-06
random,300,7,Quick Sort,0.007055499940179288,2542,1073,399,19,4056,2.858044880864146e-06
random,300,8,Heap Sort,0.013067299965769053,4018,2212,2362,9,3124,5.293307361708155e-06
random,300,8,Merge Sort,0.007815700024366379,2113,2488,599,10,9440,3.165987050443159e-06
random,300,8,Quick Sort,0.005686499993316829,2369,943,399,14,3736,2.3034898070625136e-06
random,300,9,Heap Sort,0.01600139995571226,4024,2214,2364,9,3124,6.4818538186992135e-06
random,300,9,Merge Sort,0.007221600040793419,2087,2488,599,10,9440,2.925328779425014e-06
random,300,9,Quick Sort,0.004397199954837561,2388,952,391,15,3800,1.781219605642884e-06
random,300,10,Heap Sort,0.015977100003510714,4027,2212,2362,9,3124,6.472010383849279e-06
random,300,10,Merge Sort,0.008608000003732741,2098,2488,599,10,9440,3.4869322590514744e-06
random,300,10,Quick Sort,0.004632500000298023,2326,1130,409,15,3672,1.8765350469436017e-06
random,400,1,Heap Sort,0.017192400060594082,5710,3114,3314,9,3788,4.972433507434993e-06
random,400,1,Merge Sort,0.01327670004684478,2955,3488,799,10,11672,3.839923916871295e-06
random,400,1,Quick Sort,0.009871100075542927,3564,1483,539,16,4792,2.8549468717503575e-06
random,400,2,Heap Sort,0.019042599946260452,5702,3115,3315,9,151260,5.507553436852337e-06
random,400,2,Merge Sort,0.011985099990852177,2938,3488,799,10,11280,3.4663637755305285e-06
random,400,2,Quick Sort,0.009433900006115437,3441,1523,539,19,152303,2.7284986581785382e-06
random,400,3,Heap Sort,0.01732430001720786,5709,3112,3312,9,3924,5.010581977781424e-06
random,400,3,Merge Sort,0.012991299969144166,2962,3488,799,10,11672,3.7573797168537642e-06
random,400,3,Quick Sort,0.008212000015191734,3698,1810,541,18,4856,2.375097362478723e-06
random,400,4,Heap Sort,0.016822700039483607,5686,3091,3291,9,3924,4.865507844572909e-06
random,400,4,Merge Sort,0.009565000073052943,2959,3488,799,10,11672,2.7664157822199446e-06
random,400,4,Quick Sort,0.00821519992314279,3943,1940,537,21,4984,2.376022848708712e-06
random,400,5,Heap Sort,0.017215100000612438,5698,3106,3306,9,3924,4.978998846885344e-06
random,400,5,Merge Sort,0.013784700073301792,2946,3488,799,10,11672,3.9868490898797125e-06
random,400,5,Quick Sort,0.010553799918852746,4300,2199,525,20,4984,3.0523992090871997e-06
random,400,6,Heap Sort,0.02504619990941137,5688,3106,3306,9,3924,7.243931226852156e-06
random,400,6,Merge Sort,0.01217900007031858,2964,3488,799,10,11672,3.5224440929286177e-06
random,400,6,Quick Sort,0.009998399997130036,3446,1493,551,16,4792,2.891764907240611e-06
random,400,7,Heap Sort,0.018862200086005032,5711,3110,3310,9,3924,5.4553776902021246e-06
random,400,7,Merge Sort,0.011614999966695905,2959,3488,799,10,11672,3.359322422680951e-06
random,400,7,Quick Sort,0.009011700050905347,3796,1363,535,18,4920,2.6063888191377372e-06
random,400,8,Heap Sort,0.018322200048714876,5711,3118,3318,9,3924,5.299197385534126e-06
random,400,8,Merge Sort,0.01477770006749779,2958,3488,799,10,11672,4.274047295285614e-06
random,400,8,Quick Sort,0.009978600079193711,4015,1636,535,22,4728,2.8860383201995903e-06
random,400,9,Heap Sort,0.01709199999459088,5693,3118,3318,9,3924,4.943395522593814e-06
random,400,9,Merge Sort,0.015101600089110434,2948,3488,799,10,11672,4.36772655558954e-06
random,400,9,Quick Sort,0.00979639997240156,3629,1531,535,20,5112,2.8333419012657336e-06
random,400,10,Heap Sort,0.017435999936424196,5711,3120,3320,9,3924,5.0428881374293806e-06
random,400,10,Merge Sort,0.009448600001633167,2970,3488,799,10,11672,2.7327502315489747e-06
random,400,10,Quick Sort,0.009467499912716448,3671,1580,541,19,4984,2.7382165161181345e-06
random,500,1,Heap Sort,0.02322160010226071,7457,4065,4315,9,4588,5.180048808889207e-06
random,500,1,Merge Sort,0.01792590005788952,3839,4488,999,10,14272,3.998735523573916e-06
random,500,1,Quick Sort,0.018799200071953237,4695,2354,675,19,5848,4.193542801183235e-06
random,500,2,Heap Sort,0.021309800096787512,7422,4028,4278,9,152092,4.753583048667038e-06
random,500,2,Merge Sort,0.017511799931526184,3851,4488,999,10,14080,3.906362092936789e-06
random,500,2,Quick Sort,0.013950199936516583,4681,2017,671,20,5768,3.1118749890919e-06
random,500,3,Heap Sort,0.02481540001463145,7418,4054,4304,9,4588,5.535578199686012e-06
random,500,3,Merge Sort,0.015062400023452938,3843,4488,999,10,14272,3.3599737725611866e-06
random,500,3,Quick Sort,0.012194699957035482,4581,1873,667,19,5784,2.720275119243534e-06
random,500,4,Heap Sort,0.026458799955435097,7366,4005,4255,9,4724,5.902171882653611e-06
random,500,4,Merge Sort,0.014799299999140203,3845,4488,999,10,14272,3.3012839767866386e-06
random,500,4,Quick Sort,0.013260700041428208,4869,1851,675,19,5912,2.95806805526506e-06
random,500,5,Heap Sort,0.027291700011119246,7427,4066,4316,9,4724,6.087967130283872e-06
random,500,5,Merge Sort,0.013611200032755733,3860,4488,999,10,14272,3.0362541860483153e-06
random,500,5,Quick Sort,0.01421139994636178,5120,2488,667,20,5784,3.1701409481094593e-06
random,500,6,Heap Sort,0.030527499970048666,7422,4045,4295,9,4724,6.809777929248767e-06
random,500,6,Merge Sort,0.013329699984751642,3855,4488,999,10,14272,2.9734598918590924e-06
random,500,6,Quick Sort,0.013240700005553663,4513,1764,667,18,5848,2.9536066416866047e-06
random,500,7,Heap Sort,0.024063699995167553,7435,4030,4280,9,4724,5.3678962667736084e-06
random,500,7,Merge Sort,0.017824799986556172,3867,4488,999,10,14272,3.97618310247534e-06
random,500,7,Quick Sort,0.015594500000588596,4627,1895,673,19,5784,3.478669462807924e-06
random,500,8,Heap Sort,0.025776499998755753,7435,4039,4289,9,4724,5.749971041094983e-06
random,500,8,Merge Sort,0.014651300036348403,3851,4488,999,10,14272,3.268269583824946e-06
random,500,8,Quick Sort,0.01282309996895492,4630,2356,665,18,5656,2.860452485097507e-06
random,500,9,Heap Sort,0.024432900012470782,7427,4053,4303,9,4724,5.450253817564747e-06
random,500,9,Merge Sort,0.015699299983680248,3875,4488,999,10,14272,3.5020472242539437e-06
random,500,9,Quick Sort,0.01489910006057471,5225,2771,687,23,6040,3.3235464043146437e-06
random,500,10,Heap Sort,0.02649870002642274,7409,4022,4272,9,4724,5.911072402612785e-06
random,500,10,Merge Sort,0.013648599968291819,3863,4488,999,10,14272,3.0445970000952846e-06
random,500,10,Quick Sort,0.011703800060786307,4694,2080,659,18,5912,2.610769942526542e-06
random,600,1,Heap Sort,0.03170220006722957,9245,5005,5305,10,5452,5.7252181328973805e-06
random,600,1,Merge Sort,0.02447609999217093,4782,5576,1199,11,17136,4.4202298641929045e-06
random,600,1,Quick Sort,0.021753399982117116,5914,2866,801,20,6648,3.92852735033131e-06
random,600,2,Heap Sort,0.035286500002257526,9279,5046,5346,10,153579,6.372520179387754e-06
random,600,2,Merge Sort,0.019867300055921078,4808,5576,1199,11,17136,3.587909554878175e-06
random,600,2,Quick Sort,0.016267600003629923,5790,2632,779,19,6712,2.9378263439759615e-06
random,600,3,Heap Sort,0.04887059994507581,9255,5015,5315,10,5588,8.82572327402427e-06
random,600,3,Merge Sort,0.020710799959488213,4791,5576,1199,11,17136,3.7402403373714603e-06
random,600,3,Quick Sort,0.01665500004310161,5931,2778,797,20,6648,3.007788356895095e-06
random,600,4,Heap Sort,0.031050599995069206,9284,5041,5341,10,5588,5.607543254162828e-06
random,600,4,Merge Sort,0.018989300006069243,4800,5576,1199,11,17136,3.4293482627458776e-06
random,600,4,Quick Sort,0.01837920001707971,5978,2896,809,20,6520,3.3191680382682077e-06
random,600,5,Heap Sort,0.03348300000652671,9283,5035,5335,10,5588,6.046819412363961e-06
random,600,5,Merge Sort,0.018278200062923133,4788,5576,1199,11,17136,3.3009280811758675e-06
random,600,5,Quick Sort,0.01710379996802658,6225,2833,813,20,6648,3.0888388033238734e-06
random,600,6,Heap Sort,0.030662499950267375,9218,4991,5291,10,5588,5.537454824679521e-06
random,600,6,Merge Sort,0.024479199899360538,4787,5576,1199,11,17136,4.42078968795323e-06
random,600,6,Quick Sort,0.01883979991544038,6300,3193,799,21,6584,3.4023494857549103e-06
random,600,7,Heap Sort,0.030790999997407198,9270,5028,5328,10,5588,5.560661125769127e-06
random,600,7,Merge Sort,0.01777479995507747,4782,5576,1199,11,17136,3.210017184789226e-06
random,600,7,Quick Sort,0.015674300026148558,6469,3142,817,23,6712,2.8306800960146046e-06
random,600,8,Heap Sort,0.036581399966962636,9292,5044,5344,10,5588,6.606370976572056e-06
random,600,8,Merge Sort,0.019480800023302436,4801,5576,1199,11,17136,3.518110077541552e-06
random,600,8,Quick Sort,0.01862510002683848,6008,2452,807,18,6648,3.3635760349297965e-06
random,600,9,Heap Sort,0.029311399906873703,9211,4983,5283,10,5588,5.293454646414547e-06
random,600,9,Merge Sort,0.022470199968665838,4791,5576,1199,11,17136,4.0579769239238844e-06
random,600,9,Quick Sort,0.014331899932585657,6064,2614,797,21,6712,2.588251074023353e-06
random,600,10,Heap Sort,0.034296599915251136,9261,5027,5327,10,5588,6.193750443663827e-06
random,600,10,Merge Sort,0.017224600072950125,4801,5576,1199,11,17136,3.110654543231436e-06
random,600,10,Quick Sort,0.014128800015896559,5503,2564,791,17,6584,2.5515725052378273e-06
random,700,1,Heap Sort,0.038444300065748394,11076,5988,6338,10,6252,5.81094084297809e-06
random,700,1,Merge Sort,0.02507770003285259,5704,6676,1399,11,19344,3.7905497335010275e-06
random,700,1,Quick Sort,0.026645599980838597,6738,3125,925,20,158080,4.027541272685596e-06
random,700,2,Heap Sort,0.04791379999369383,11100,6007,6357,10,153740,7.24227666648816e-06
random,700,2,Merge Sort,0.02264510001987219,5764,6676,1399,11,19344,3.4228568701667587e-06
random,700,2,Quick Sort,0.026429600082337856,6923,3116,941,21,7640,3.994892411082433e-06
random,700,3,Heap Sort,0.037735900026746094,11124,6016,6366,10,6388,5.7038646128798535e-06
random,700,3,Merge Sort,0.02254529995843768,5741,6676,1399,11,19344,3.407771870514543e-06
random,700,3,Quick Sort,0.020841300021857023,7106,3039,935,23,7640,3.150208517534407e-06
random,700,4,Heap Sort,0.04040080006234348,11127,6021,6371,10,6388,6.106670137569412e-06
random,700,4,Merge Sort,0.023462999961338937,5771,6676,1399,11,19344,3.5464842523069e-06
random,700,4,Quick Sort,0.02230710000731051,6927,3022,933,18,7512,3.3717674219374316e-06
random,700,5,Heap Sort,0.04624940000940114,11122,6032,6382,10,6388,6.990698933736162e-06
random,700,5,Merge Sort,0.026824300060980022,5754,6676,1399,11,19344,4.0545521843828135e-06
random,700,5,Quick Sort,0.03344009991269559,7568,3593,953,20,7576,5.0545449401763756e-06
random,700,6,Heap Sort,0.03827710007317364,11085,6002,6352,10,6388,5.7856681949096735e-06
random,700,6,Merge Sort,0.0223087000194937,5740,6676,1399,11,19344,3.3720092673118736e-06
random,700,6,Quick Sort,0.021821599919348955,6539,3039,939,19,7384,3.2983830116196384e-06
random,700,7,Heap Sort,0.034957599942572415,11123,6019,6369,10,6388,5.2839184204517555e-06
random,700,7,Merge Sort,0.02304060000460595,5757,6676,1399,11,19344,3.48263756615436e-06
random,700,7,Quick Sort,0.026333900052122772,7554,3542,947,23,7704,3.980427140202225e-06
random,700,8,Heap Sort,0.03885669994633645,11125,5999,6349,10,6388,5.8732759955403685e-06
random,700,8,Merge Sort,0.023467399994842708,5755,6676,1399,11,19344,3.547149327086615e-06
random,700,8,Quick Sort,0.018812199938111007,6860,3415,941,18,7512,2.8435055594635154e-06
random,700,9,Heap Sort,0.041522599989548326,11125,6020,6370,10,6388,6.276232673588953e-06
random,700,9,Merge Sort,0.02112920000217855,5741,6676,1399,11,19344,3.1937252352658207e-06
random,700,9,Quick Sort,0.019316100049763918,6782,3100,929,18,7512,2.919671173990958e-06
